seq,latency_ns,latency_ms
1,5502700,5.5027
2,915400,0.9154
3,273000,0.273
4,208600,0.2086
5,147500,0.1475
6,156000,0.156
7,61800,0.0618
8,135000,0.135
9,102800,0.1028
10,76200,0.0762
11,1445100,1.4451
12,577300,0.5773
13,383200,0.3832
14,163700,0.1637
15,186400,0.1864
16,312900,0.3129
17,134700,0.1347
18,229700,0.2297
19,175600,0.1756
20,81600,0.0816
21,77800,0.0778
22,71300,0.0713
23,53800,0.0538
24,56400,0.0564
25,572400,0.5724
26,310000,0.31
27,71700,0.0717
28,66500,0.0665
29,60000,0.06
30,84900,0.0849
31,217400,0.2174
32,314200,0.3142
33,319000,0.319
34,301300,0.3013
35,218700,0.2187
36,206000,0.206
37,240500,0.2405
38,177100,0.1771
39,378700,0.3787
40,284300,0.2843
41,169100,0.1691
42,194200,0.1942
43,349100,0.3491
44,307500,0.3075
45,339700,0.3397
46,437500,0.4375
47,297400,0.2974
48,352700,0.3527
49,262900,0.2629
50,311100,0.3111
51,258000,0.258
52,570600,0.5706
53,448200,0.4482
54,249300,0.2493
55,288600,0.2886
56,359000,0.359
57,320900,0.3209
58,332100,0.3321
59,500700,0.5007
60,157600,0.1576
61,199000,0.199
62,209900,0.2099
63,215200,0.2152
64,218200,0.2182
65,288800,0.2888
66,229200,0.2292
67,239200,0.2392
68,234000,0.234
69,223700,0.2237
70,216000,0.216
71,253200,0.2532
72,288300,0.2883
73,294500,0.2945
74,291200,0.2912
75,268700,0.2687
76,250200,0.2502
77,237900,0.2379
78,1598100,1.5981
79,328800,0.3288
80,262200,0.2622
81,186600,0.1866
82,297000,0.297
83,236000,0.236
84,358000,0.358
85,321600,0.3216
86,357500,0.3575
87,310800,0.3108
88,257200,0.2572
89,331200,0.3312
90,381300,0.3813
91,1224000,1.224
92,319000,0.319
93,326600,0.3266
94,307100,0.3071
95,285200,0.2852
96,222500,0.2225
97,181200,0.1812
98,356400,0.3564
99,414600,0.4146
100,199200,0.1992
101,173300,0.1733
102,178600,0.1786
103,186200,0.1862
104,378300,0.3783
105,244100,0.2441
106,272500,0.2725
107,227000,0.227
108,270500,0.2705
109,257400,0.2574
110,315300,0.3153
111,454200,0.4542
112,307700,0.3077
113,396300,0.3963
114,430900,0.4309
115,377000,0.377
116,300500,0.3005
117,331900,0.3319
118,442400,0.4424
119,432100,0.4321
120,282300,0.2823
121,238000,0.238
122,351300,0.3513
123,234200,0.2342
124,457300,0.4573
125,280800,0.2808
126,266400,0.2664
127,328600,0.3286
128,347300,0.3473
129,260900,0.2609
130,385100,0.3851
131,448300,0.4483
132,573600,0.5736
133,351800,0.3518
134,349800,0.3498
135,468500,0.4685
136,395000,0.395
137,551200,0.5512
138,375200,0.3752
139,345200,0.3452
140,271000,0.271
141,324000,0.324
142,284500,0.2845
143,234800,0.2348
144,553800,0.5538
