elapsed_s,cpu_percent,memory_mb
0.000,0.0,45.59
0.101,9.9,46.89
0.202,0.0,46.99
0.303,0.0,47.08
0.403,0.0,47.08
0.503,0.0,47.23
0.604,0.0,47.23
0.705,0.0,47.30
0.806,0.0,47.30
0.906,0.0,47.30
1.006,0.0,47.30
1.106,10.0,47.37
1.207,0.0,47.37
1.307,0.0,47.46
1.408,0.0,47.46
1.510,0.0,47.46
1.611,0.0,47.52
1.712,0.0,47.52
1.812,0.0,47.52
1.913,0.0,47.52
2.014,0.0,47.52
2.115,19.9,47.66
2.216,0.0,47.66
2.317,0.0,47.67
2.417,0.0,47.67
2.518,0.0,47.67
2.619,9.9,47.92
2.720,0.0,47.92
2.820,0.0,47.92
2.921,0.0,47.92
3.021,0.0,47.92
3.122,10.0,47.92
3.222,0.0,47.92
3.323,0.0,47.92
3.423,0.0,47.92
3.524,0.0,47.92
3.624,0.0,47.92
3.725,0.0,47.92
3.825,0.0,47.93
3.926,29.9,49.96
4.026,0.0,49.96
4.127,10.0,49.96
4.228,0.0,49.96
4.328,0.0,49.96
4.429,0.0,49.96
4.530,0.0,49.96
4.633,0.0,49.96
4.734,0.0,49.96
4.834,0.0,49.96
4.935,0.0,49.96
5.036,0.0,49.96
5.136,9.9,49.96
5.238,0.0,49.96
5.339,0.0,49.96
5.439,0.0,49.96
5.540,0.0,49.96
5.641,0.0,49.96
5.741,0.0,49.96
5.842,0.0,49.96
5.942,0.0,49.96
6.043,0.0,49.96
6.143,10.0,49.96
6.244,0.0,49.96
6.345,0.0,49.96
6.446,0.0,49.96
6.547,0.0,49.96
6.647,9.9,49.96
6.748,0.0,49.96
6.849,0.0,49.97
6.949,0.0,49.97
7.050,0.0,49.97
7.150,0.0,49.97
7.250,0.0,49.97
7.351,0.0,49.97
7.451,0.0,49.97
7.551,0.0,49.97
7.651,49.8,51.09
7.752,39.9,51.24
7.852,0.0,51.24
7.953,0.0,51.24
8.053,10.0,51.24
8.154,0.0,51.24
8.255,9.9,51.24
8.355,0.0,51.24
8.456,0.0,51.24
8.556,0.0,51.24
8.657,0.0,51.24
8.757,0.0,51.24
8.858,0.0,51.24
8.958,0.0,51.24
9.059,0.0,51.24
9.160,0.0,51.24
9.261,0.0,51.24
9.362,0.0,51.24
9.463,0.0,51.24
9.564,0.0,51.24
9.665,0.0,51.24
9.766,0.0,51.24
9.866,0.0,51.24
9.967,0.0,51.24
10.069,0.0,51.24
10.169,0.0,51.24
10.271,0.0,51.24
10.372,0.0,51.24
10.473,0.0,51.24
10.573,0.0,51.24
10.674,0.0,51.24
10.775,0.0,51.24
10.877,9.9,51.24
10.978,0.0,51.24
11.079,0.0,51.24
11.180,0.0,51.24
11.281,0.0,51.24
11.381,9.9,51.25
11.482,0.0,51.25
11.582,0.0,51.25
11.683,0.0,51.25
11.783,0.0,51.25
11.884,0.0,51.25
11.984,0.0,51.25
12.085,0.0,51.25
12.185,0.0,51.25
12.286,0.0,51.25
12.386,0.0,51.25
12.487,0.0,51.25
12.588,0.0,51.25
12.688,0.0,51.25
12.789,0.0,51.25
12.890,0.0,51.25
12.991,0.0,51.25
13.091,0.0,51.25
13.192,0.0,51.25
13.292,0.0,51.25
13.393,0.0,51.25
13.494,0.0,51.25
13.594,0.0,51.25
13.695,0.0,51.25
13.795,0.0,51.25
13.897,0.0,51.25
13.998,0.0,51.25
14.099,0.0,51.25
14.200,9.9,51.25
14.301,0.0,51.25
