seq,latency_ns,latency_ms
1,4610560,4.6106
2,828268,0.8283
3,307563,0.3076
4,1055204,1.0552
5,2152676,2.1527
6,834196,0.8342
7,1076799,1.0768
8,886720,0.8867
9,1225622,1.2256
10,1036461,1.0365
11,517236,0.5172
12,722522,0.7225
13,989005,0.989
14,924563,0.9246
15,248738,0.2487
16,1408909,1.4089
17,1347068,1.3471
18,1207075,1.2071
19,391078,0.3911
20,1255935,1.2559
21,615333,0.6153
22,1035795,1.0358
23,621080,0.6211
24,963712,0.9637
25,715117,0.7151
26,1018569,1.0186
27,221227,0.2212
28,1044545,1.0445
29,848523,0.8485
30,1004206,1.0042
31,912273,0.9123
32,1096758,1.0968
33,855672,0.8557
34,800396,0.8004
35,652938,0.6529
36,690672,0.6907
37,1017358,1.0174
38,977947,0.9779
39,818958,0.819
40,503017,0.503
41,541798,0.5418
42,727177,0.7272
43,637426,0.6374
44,665566,0.6656
45,408277,0.4083
46,1429719,1.4297
47,258499,0.2585
48,780483,0.7805
49,673523,0.6735
50,661958,0.662
51,734487,0.7345
52,884834,0.8848
53,453015,0.453
54,1071508,1.0715
55,814228,0.8142
56,455456,0.4555
57,553539,0.5535
58,1464402,1.4644
59,557965,0.558
60,693380,0.6934
61,400193,0.4002
62,892978,0.893
63,496911,0.4969
64,823873,0.8239
65,628499,0.6285
66,617416,0.6174
67,257812,0.2578
68,351843,0.3518
69,566139,0.5661
70,569525,0.5695
71,256890,0.2569
72,263292,0.2633
73,793169,0.7932
74,276056,0.2761
75,706966,0.707
76,865390,0.8654
77,461874,0.4619
78,324685,0.3247
79,507612,0.5076
80,384704,0.3847
81,739562,0.7396
82,916338,0.9163
83,705057,0.7051
84,670516,0.6705
85,602976,0.603
86,498997,0.499
87,402624,0.4026
88,633391,0.6334
89,651834,0.6518
90,478985,0.479
91,766531,0.7665
92,826376,0.8264
93,338449,0.3384
94,716292,0.7163
95,622251,0.6223
96,491058,0.4911
97,544095,0.5441
98,577828,0.5778
99,862993,0.863
100,611591,0.6116
101,790468,0.7905
