elapsed_s,cpu_percent,memory_mb
0.000,0.0,45.60
0.101,19.9,46.98
0.201,0.0,47.14
0.302,9.9,47.39
0.403,0.0,47.39
0.504,19.8,47.61
0.604,0.0,47.68
0.705,9.9,48.00
0.807,9.9,48.00
0.907,0.0,48.00
1.008,39.7,50.04
1.108,0.0,50.04
1.209,19.9,50.04
1.310,0.0,50.04
1.411,0.0,50.04
1.511,0.0,50.04
1.612,0.0,50.04
1.712,19.9,50.17
1.813,29.9,51.16
1.913,39.7,51.30
2.014,10.0,51.30
2.115,0.0,51.30
2.216,0.0,51.30
2.317,0.0,51.30
2.418,9.9,51.30
2.519,0.0,51.30
2.620,0.0,51.30
2.721,0.0,51.31
2.822,0.0,51.31
2.922,0.0,51.31
3.023,0.0,51.31
3.124,9.9,51.31
3.225,9.9,51.31
3.325,39.8,51.43
3.426,29.8,51.45
3.526,0.0,51.45
3.627,0.0,51.46
3.727,0.0,51.46
3.828,9.9,51.46
3.930,0.0,51.46
4.030,0.0,51.46
4.132,0.0,51.46
4.232,19.8,51.46
4.334,0.0,51.46
4.434,0.0,51.46
4.536,0.0,51.47
4.637,0.0,51.47
4.738,0.0,51.47
4.839,9.9,51.47
4.940,0.0,51.47
5.040,0.0,51.48
5.141,0.0,51.48
5.242,0.0,51.48
5.343,9.9,51.48
5.444,9.9,51.48
5.545,0.0,51.48
5.646,0.0,51.48
5.748,0.0,51.48
5.848,0.0,51.48
5.949,0.0,51.48
6.050,0.0,51.48
6.151,0.0,51.48
6.252,9.9,51.48
6.353,0.0,51.48
6.454,0.0,51.48
6.555,9.9,51.49
6.656,0.0,51.49
6.756,0.0,51.49
6.858,0.0,51.49
6.959,0.0,51.49
7.060,0.0,51.49
7.160,0.0,51.49
7.260,0.0,51.50
7.361,10.0,51.50
7.462,9.9,51.50
7.562,0.0,51.50
7.663,0.0,51.50
7.765,0.0,51.50
7.865,0.0,51.50
7.966,0.0,51.50
8.067,0.0,51.51
8.168,0.0,51.51
8.269,9.9,51.51
8.370,0.0,51.51
8.471,0.0,51.51
8.572,0.0,51.51
8.672,0.0,51.51
8.774,0.0,51.51
8.874,0.0,51.51
8.975,9.9,51.52
9.077,9.9,51.52
9.178,0.0,51.52
9.278,0.0,51.52
9.379,0.0,51.52
9.481,0.0,51.52
9.582,0.0,51.52
9.683,0.0,51.52
9.784,9.9,51.52
9.885,0.0,51.52
9.985,0.0,51.52
10.087,0.0,51.52
10.187,9.9,51.52
10.289,0.0,51.52
10.389,0.0,51.62
10.490,0.0,51.62
10.591,0.0,51.62
10.692,9.9,51.62
10.793,0.0,51.62
10.894,0.0,51.62
10.995,0.0,51.62
11.096,0.0,51.62
11.197,0.0,51.62
11.297,0.0,51.62
11.398,9.9,51.62
11.499,0.0,51.62
11.600,9.9,51.62
11.701,0.0,51.62
11.802,0.0,51.63
11.903,0.0,51.63
12.004,0.0,51.63
12.105,0.0,51.63
12.206,0.0,51.63
12.307,9.9,51.63
12.408,0.0,51.63
12.509,0.0,51.63
12.610,9.9,51.63
12.711,0.0,51.63
12.812,0.0,51.63
12.913,0.0,51.64
13.014,9.9,51.64
13.115,0.0,51.64
13.217,0.0,51.64
13.318,0.0,51.64
13.419,0.0,51.64
13.520,0.0,51.64
13.622,0.0,51.64
13.723,0.0,51.64
13.824,0.0,51.64
13.926,9.9,51.65
14.026,9.9,51.65
14.127,0.0,51.65
14.228,0.0,51.65
14.329,0.0,51.65
14.429,0.0,51.65
14.530,0.0,51.65
14.631,9.9,51.65
14.731,0.0,51.65
14.832,0.0,51.66
14.933,9.9,51.67
15.033,9.9,51.68
15.134,0.0,51.69
15.234,0.0,51.69
15.335,0.0,51.69
15.435,0.0,51.69
15.536,10.0,51.70
15.637,0.0,51.70
15.738,0.0,51.70
15.838,0.0,51.70
15.939,0.0,51.70
16.039,0.0,51.72
16.140,0.0,51.72
16.241,9.9,51.72
16.341,0.0,51.72
16.442,9.9,51.72
16.543,0.0,51.72
16.643,0.0,51.72
16.744,0.0,51.73
16.845,0.0,51.73
16.945,9.9,51.73
17.046,0.0,51.73
17.146,0.0,51.73
17.247,0.0,51.73
17.348,0.0,51.73
17.449,0.0,51.73
17.550,0.0,51.73
17.650,9.9,51.73
17.751,0.0,51.73
17.852,0.0,51.73
17.953,0.0,51.73
18.054,0.0,51.73
18.154,9.9,51.73
18.255,0.0,51.73
18.355,0.0,51.73
18.456,0.0,51.73
18.557,9.9,51.73
18.657,0.0,51.73
18.758,0.0,51.73
18.859,0.0,51.74
18.959,0.0,51.74
19.060,0.0,51.74
19.161,0.0,51.74
19.262,0.0,51.74
19.362,9.9,51.74
19.464,0.0,51.74
19.564,0.0,51.72
19.665,0.0,51.72
19.767,9.9,51.72
19.868,9.8,51.72
19.969,0.0,51.73
20.070,0.0,51.73
20.171,0.0,51.73
20.272,0.0,51.73
