seq,latency_ns,latency_ms
1,1053000,1.053
2,10686700,10.6867
3,1047800,1.0478
4,933900,0.9339
5,690600,0.6906
6,876100,0.8761
7,1989600,1.9896
8,613200,0.6132
9,529000,0.529
10,779800,0.7798
11,265500,0.2655
12,1302000,1.302
13,258000,0.258
14,906200,0.9062
15,876600,0.8766
16,746900,0.7469
17,823500,0.8235
18,784800,0.7848
19,653400,0.6534
20,637500,0.6375
21,174900,0.1749
22,519100,0.5191
23,807000,0.807
24,711900,0.7119
25,817400,0.8174
26,529900,0.5299
27,827700,0.8277
28,576400,0.5764
29,993800,0.9938
30,754300,0.7543
31,644600,0.6446
32,588500,0.5885
33,258300,0.2583
34,548300,0.5483
35,695700,0.6957
36,401600,0.4016
37,649500,0.6495
38,603400,0.6034
39,631200,0.6312
40,387000,0.387
41,456100,0.4561
42,632600,0.6326
43,500800,0.5008
44,528400,0.5284
45,547000,0.547
46,630500,0.6305
47,389500,0.3895
48,418000,0.418
49,349200,0.3492
50,613300,0.6133
51,1210300,1.2103
52,234300,0.2343
53,620200,0.6202
54,630400,0.6304
55,455000,0.455
56,880400,0.8804
57,606200,0.6062
58,699200,0.6992
59,211700,0.2117
60,751500,0.7515
61,487200,0.4872
62,569000,0.569
63,292300,0.2923
64,786400,0.7864
65,609100,0.6091
66,2636000,2.636
67,659600,0.6596
68,1129200,1.1292
69,701100,0.7011
70,572800,0.5728
71,780100,0.7801
72,803100,0.8031
73,376500,0.3765
74,613300,0.6133
75,492600,0.4926
76,565500,0.5655
77,437500,0.4375
78,811000,0.811
79,867800,0.8678
80,501100,0.5011
81,313600,0.3136
82,563800,0.5638
83,321400,0.3214
84,429900,0.4299
85,529200,0.5292
86,774300,0.7743
87,642700,0.6427
88,774600,0.7746
89,668000,0.668
90,565800,0.5658
91,552700,0.5527
92,599400,0.5994
93,670500,0.6705
94,706600,0.7066
95,716300,0.7163
96,639700,0.6397
97,753400,0.7534
98,230000,0.23
99,608000,0.608
100,304100,0.3041
101,589300,0.5893
102,555000,0.555
103,662800,0.6628
104,719000,0.719
105,630200,0.6302
106,547000,0.547
107,646700,0.6467
108,803000,0.803
109,187500,0.1875
110,681600,0.6816
111,616800,0.6168
112,778000,0.778
113,1036700,1.0367
114,655000,0.655
115,197100,0.1971
116,617900,0.6179
117,527000,0.527
