elapsed_s,cpu_percent,memory_mb
0.000,0.0,2.14
0.101,0.0,2.14
0.201,0.0,2.14
0.302,0.0,2.14
0.402,0.0,2.14
0.502,0.0,2.14
0.602,0.0,2.14
0.703,0.0,2.14
0.803,0.0,2.14
0.903,0.0,2.14
1.004,0.0,2.14
1.104,0.0,2.14
1.204,0.0,2.14
1.305,0.0,2.14
1.405,0.0,2.14
1.506,0.0,2.14
1.606,0.0,2.14
1.708,0.0,2.14
1.809,0.0,2.14
1.909,0.0,2.14
2.010,0.0,2.14
2.111,0.0,2.14
2.212,0.0,2.14
2.314,0.0,2.14
2.415,0.0,2.14
2.515,0.0,2.14
2.616,0.0,2.14
2.718,0.0,2.14
2.818,0.0,2.14
2.919,0.0,2.14
3.019,0.0,2.14
3.120,0.0,2.14
3.220,0.0,2.14
3.321,0.0,2.14
3.422,0.0,2.14
3.522,0.0,2.14
3.623,0.0,2.14
3.724,0.0,2.14
3.825,0.0,2.14
3.926,0.0,2.14
4.027,0.0,2.14
4.127,0.0,2.14
4.228,0.0,2.14
4.328,0.0,2.14
4.429,0.0,2.14
4.530,0.0,2.14
4.630,0.0,2.14
4.732,0.0,2.14
4.833,0.0,2.14
4.933,0.0,2.14
5.036,0.0,2.14
5.137,0.0,2.14
5.238,0.0,2.14
5.339,0.0,2.14
5.440,0.0,2.14
5.540,0.0,2.14
5.641,0.0,2.14
5.742,0.0,2.14
5.844,0.0,2.14
5.945,0.0,2.14
6.046,0.0,2.14
6.147,0.0,2.14
6.248,0.0,2.14
6.350,0.0,2.14
6.451,0.0,2.14
6.552,0.0,2.14
6.652,0.0,2.14
6.753,0.0,2.14
6.854,0.0,2.14
6.954,0.0,2.14
7.055,0.0,2.14
7.155,0.0,2.14
7.256,0.0,2.14
7.358,0.0,2.14
7.459,0.0,2.14
7.560,0.0,2.14
7.661,0.0,2.14
7.763,0.0,2.14
7.863,0.0,2.14
7.964,0.0,2.14
8.065,0.0,2.14
8.166,0.0,2.14
8.267,0.0,2.14
8.368,0.0,2.14
8.469,0.0,2.14
8.569,0.0,2.14
8.670,0.0,2.14
8.770,0.0,2.14
8.871,0.0,2.14
8.972,0.0,2.14
9.074,0.0,2.14
9.175,0.0,2.14
9.276,0.0,2.14
9.376,0.0,2.14
9.477,0.0,2.14
9.578,0.0,2.14
9.678,0.0,2.14
9.779,0.0,2.14
9.879,0.0,2.14
9.980,0.0,2.14
10.080,0.0,2.14
10.181,0.0,2.14
10.282,0.0,2.14
10.382,0.0,2.14
10.483,0.0,2.14
10.583,0.0,2.14
10.684,0.0,2.14
10.785,0.0,2.14
10.886,0.0,2.14
10.987,0.0,2.14
11.088,0.0,2.14
11.188,0.0,2.14
11.289,0.0,2.14
11.389,0.0,2.14
11.490,0.0,2.14
11.591,0.0,2.14
11.693,0.0,2.14
11.794,0.0,2.14
11.895,0.0,2.14
11.996,0.0,2.14
12.096,0.0,2.14
12.197,0.0,2.14
12.298,0.0,2.14
12.398,0.0,2.14
12.499,0.0,2.14
12.600,0.0,2.14
12.701,0.0,2.14
12.801,0.0,2.14
12.902,0.0,2.14
13.003,0.0,2.14
13.104,0.0,2.14
13.205,0.0,2.14
13.307,0.0,2.14
13.408,0.0,2.14
13.509,0.0,2.14
13.610,0.0,2.14
13.710,0.0,2.14
13.811,0.0,2.14
13.912,0.0,2.14
14.013,0.0,2.14
14.114,0.0,2.14
14.215,0.0,2.14
14.315,0.0,2.14
14.416,0.0,2.14
14.517,0.0,2.14
14.618,0.0,2.14
14.718,0.0,2.14
14.819,0.0,2.14
14.920,0.0,2.14
15.021,0.0,2.14
15.121,0.0,2.14
15.221,0.0,2.14
15.322,0.0,2.14
15.422,0.0,2.14
15.523,0.0,2.14
15.624,0.0,2.14
15.724,0.0,2.14
15.825,0.0,2.14
15.926,0.0,2.14
16.026,0.0,2.14
16.127,0.0,2.14
16.228,0.0,2.14
16.328,0.0,2.14
16.429,0.0,2.14
16.529,0.0,2.14
16.630,0.0,2.14
16.731,0.0,2.14
16.831,0.0,2.14
16.932,0.0,2.14
17.033,0.0,2.14
17.134,0.0,2.14
17.235,0.0,2.14
17.337,0.0,2.14
17.438,0.0,2.14
17.539,0.0,2.14
17.640,0.0,2.14
17.741,0.0,2.14
17.841,0.0,2.14
17.942,0.0,2.14
18.043,0.0,2.14
18.144,0.0,2.14
18.245,0.0,2.14
18.346,0.0,2.14
18.447,0.0,2.14
18.548,0.0,2.14
18.649,0.0,2.14
18.749,0.0,2.14
18.850,0.0,2.14
18.951,0.0,2.14
19.052,0.0,2.14
19.153,0.0,2.14
19.253,0.0,2.14
19.354,0.0,2.14
19.455,0.0,2.14
19.556,0.0,2.14
19.656,0.0,2.14
19.757,0.0,2.14
19.858,0.0,2.14
19.959,0.0,2.14
20.060,0.0,2.14
20.161,0.0,2.14
20.261,0.0,2.14
20.362,0.0,2.14
20.463,0.0,2.14
20.564,0.0,2.14
20.664,0.0,2.14
20.765,0.0,2.14
20.866,0.0,2.14
20.967,0.0,2.14
21.068,0.0,2.14
21.169,0.0,2.14
21.270,0.0,2.14
21.370,0.0,2.14
21.471,0.0,2.14
21.572,0.0,2.14
21.673,0.0,2.14
21.774,0.0,2.14
21.875,0.0,2.14
21.975,0.0,2.14
22.076,0.0,2.14
22.177,0.0,2.14
22.278,0.0,2.14
22.378,0.0,2.14
22.479,0.0,2.14
22.580,0.0,2.14
22.680,0.0,2.14
22.781,0.0,2.14
22.882,0.0,2.14
22.982,0.0,2.14
23.082,0.0,2.14
23.183,0.0,2.14
23.284,0.0,2.14
23.384,0.0,2.14
23.485,0.0,2.14
23.586,0.0,2.14
23.687,0.0,2.14
23.788,0.0,2.14
23.889,0.0,2.14
23.990,0.0,2.14
24.090,0.0,2.14
24.191,0.0,2.14
24.292,0.0,2.14
24.393,0.0,2.14
24.494,0.0,2.14
24.595,0.0,2.14
24.695,0.0,2.14
24.796,0.0,2.14
24.897,0.0,2.14
24.997,0.0,2.14
25.098,0.0,2.14
25.199,0.0,2.14
25.300,0.0,2.14
25.400,0.0,2.14
25.501,0.0,2.14
25.602,0.0,2.14
25.703,0.0,2.14
25.803,0.0,2.14
25.904,0.0,2.14
26.005,0.0,2.14
26.105,0.0,2.14
26.206,0.0,2.14
26.307,0.0,2.14
26.407,0.0,2.14
26.508,0.0,2.14
26.609,0.0,2.14
26.710,0.0,2.14
26.810,0.0,2.14
26.911,0.0,2.14
27.012,0.0,2.14
27.113,0.0,2.14
27.213,0.0,2.14
27.314,0.0,2.14
27.414,0.0,2.14
27.515,0.0,2.14
27.615,0.0,2.14
27.716,0.0,2.14
27.816,0.0,2.14
27.917,0.0,2.14
28.017,0.0,2.14
28.118,0.0,2.14
28.218,0.0,2.14
28.319,0.0,2.14
28.420,0.0,2.14
28.521,0.0,2.14
28.621,0.0,2.14
28.722,0.0,2.14
28.822,0.0,2.14
28.923,0.0,2.14
29.023,0.0,2.14
29.124,0.0,2.14
29.224,0.0,2.14
29.325,0.0,2.14
29.426,0.0,2.14
29.526,0.0,2.14
29.627,0.0,2.14
29.727,0.0,2.14
29.828,0.0,2.14
29.928,0.0,2.14
30.029,0.0,2.14
30.129,0.0,2.14
30.230,0.0,2.14
30.331,0.0,2.14
30.432,0.0,2.14
30.532,0.0,2.14
30.632,0.0,2.14
30.733,0.0,2.14
30.834,0.0,2.14
30.934,0.0,2.14
31.035,0.0,2.14
31.136,0.0,2.14
31.237,0.0,2.14
31.338,0.0,2.14
31.439,0.0,2.14
31.539,0.0,2.14
31.640,0.0,2.14
31.741,0.0,2.14
31.842,0.0,2.14
31.943,0.0,2.14
32.043,0.0,2.14
32.144,0.0,2.14
32.245,0.0,2.14
32.346,0.0,2.14
32.446,0.0,2.14
32.547,0.0,2.14
32.648,0.0,2.14
32.749,0.0,2.14
32.849,0.0,2.14
32.950,0.0,2.14
33.050,0.0,2.14
33.151,0.0,2.14
33.252,0.0,2.14
33.353,0.0,2.14
33.454,0.0,2.14
33.555,0.0,2.14
33.657,0.0,2.14
33.758,0.0,2.14
33.858,0.0,2.14
33.959,0.0,2.14
34.061,0.0,2.14
34.162,0.0,2.14
34.263,0.0,2.14
34.364,0.0,2.14
34.465,0.0,2.14
34.566,0.0,2.14
34.667,0.0,2.14
34.768,0.0,2.14
34.868,0.0,2.14
34.969,0.0,2.14
35.071,0.0,2.14
35.172,0.0,2.14
35.273,0.0,2.14
35.373,0.0,2.14
35.475,0.0,2.14
35.576,0.0,2.14
35.676,0.0,2.14
35.777,0.0,2.14
35.879,0.0,2.14
35.980,0.0,2.14
36.080,0.0,2.14
36.181,0.0,2.14
36.283,0.0,2.14
36.383,0.0,2.14
36.484,0.0,2.14
36.585,0.0,2.14
36.686,0.0,2.14
36.787,0.0,2.14
36.888,0.0,2.14
36.989,0.0,2.14
37.090,0.0,2.14
37.192,0.0,2.14
37.293,0.0,2.14
37.394,0.0,2.14
37.495,0.0,2.14
37.596,0.0,2.14
37.697,0.0,2.14
37.798,0.0,2.14
37.898,0.0,2.14
37.999,0.0,2.14
38.100,0.0,2.14
38.201,0.0,2.14
38.302,0.0,2.14
38.402,0.0,2.14
38.503,0.0,2.14
38.604,0.0,2.14
38.705,0.0,2.14
38.806,0.0,2.14
38.907,0.0,2.14
39.008,0.0,2.14
39.110,0.0,2.14
39.210,0.0,2.14
39.311,0.0,2.14
39.411,0.0,2.14
39.513,0.0,2.14
39.614,0.0,2.14
39.714,0.0,2.14
39.815,0.0,2.14
39.916,0.0,2.14
40.017,0.0,2.14
40.117,0.0,2.14
40.218,0.0,2.14
40.319,0.0,2.14
40.420,0.0,2.14
40.520,0.0,2.14
40.621,0.0,2.14
40.721,0.0,2.14
40.822,0.0,2.14
40.923,0.0,2.14
41.023,0.0,2.14
41.125,0.0,2.14
41.226,0.0,2.14
41.327,0.0,2.14
41.427,0.0,2.14
41.528,0.0,2.14
41.629,0.0,2.14
41.729,0.0,2.14
41.830,0.0,2.14
41.931,0.0,2.14
42.031,0.0,2.14
42.132,0.0,2.14
42.233,0.0,2.14
42.333,0.0,2.14
42.434,0.0,2.14
42.535,0.0,2.14
42.635,0.0,2.14
42.736,0.0,2.14
42.837,0.0,2.14
42.937,0.0,2.14
43.038,0.0,2.14
43.139,0.0,2.14
43.240,0.0,2.14
43.341,0.0,2.14
43.443,0.0,2.14
43.544,0.0,2.14
43.645,0.0,2.14
43.746,0.0,2.14
43.848,0.0,2.14
43.949,0.0,2.14
44.050,0.0,2.14
44.151,9.9,2.14
44.252,0.0,2.14
44.353,0.0,2.14
44.454,0.0,2.14
44.555,0.0,2.14
44.657,0.0,2.14
44.758,0.0,2.14
44.859,0.0,2.14
44.960,0.0,2.14
45.061,0.0,2.14
45.161,0.0,2.14
45.262,0.0,2.14
45.363,0.0,2.14
45.464,0.0,2.14
45.564,0.0,2.14
45.665,0.0,2.14
45.766,0.0,2.14
45.866,0.0,2.14
45.967,0.0,2.14
46.068,0.0,2.14
46.168,0.0,2.14
46.269,0.0,2.14
46.370,0.0,2.14
46.471,0.0,2.14
46.572,0.0,2.14
46.672,0.0,2.14
46.773,0.0,2.14
46.874,0.0,2.14
46.975,0.0,2.14
47.076,0.0,2.14
47.176,0.0,2.14
47.277,0.0,2.14
47.378,0.0,2.14
47.478,0.0,2.14
47.579,0.0,2.14
47.680,0.0,2.14
47.781,0.0,2.14
47.881,0.0,2.14
47.982,0.0,2.14
48.082,0.0,2.14
48.183,0.0,2.14
48.284,0.0,2.14
48.384,0.0,2.14
48.485,0.0,2.14
48.586,0.0,2.14
48.686,0.0,2.14
48.787,0.0,2.14
48.888,0.0,2.14
48.989,0.0,2.14
49.089,0.0,2.14
49.190,0.0,2.14
49.291,0.0,2.14
49.391,0.0,2.14
49.492,0.0,2.14
49.593,0.0,2.14
49.693,0.0,2.14
49.794,0.0,2.14
49.895,0.0,2.14
49.995,0.0,2.14
50.096,0.0,2.14
50.197,0.0,2.14
50.297,0.0,2.14
50.398,0.0,2.14
50.498,0.0,2.14
50.598,0.0,2.14
50.699,0.0,2.14
50.799,0.0,2.14
50.900,0.0,2.14
51.000,0.0,2.14
51.101,0.0,2.14
51.202,0.0,2.14
51.302,0.0,2.14
51.403,0.0,2.14
51.504,0.0,2.14
51.604,0.0,2.14
51.705,0.0,2.14
51.805,0.0,2.14
51.906,0.0,2.14
52.006,0.0,2.14
52.108,0.0,2.14
52.208,0.0,2.14
52.310,0.0,2.14
52.410,0.0,2.14
52.511,0.0,2.14
52.612,0.0,2.14
52.712,0.0,2.14
52.813,0.0,2.14
52.913,0.0,2.14
53.014,0.0,2.14
53.115,0.0,2.14
53.216,0.0,2.14
53.317,0.0,2.14
53.417,0.0,2.14
53.518,0.0,2.14
53.619,0.0,2.14
53.720,0.0,2.14
53.821,0.0,2.14
53.922,0.0,2.14
54.023,0.0,2.14
54.124,0.0,2.14
54.225,0.0,2.14
54.326,0.0,2.14
54.427,0.0,2.14
54.527,0.0,2.14
54.628,0.0,2.14
54.728,0.0,2.14
54.829,0.0,2.14
54.929,0.0,2.14
55.030,0.0,2.14
55.131,0.0,2.14
55.232,0.0,2.14
55.332,0.0,2.14
55.433,0.0,2.14
55.534,0.0,2.14
55.635,0.0,2.14
55.735,0.0,2.14
55.836,0.0,2.14
55.936,0.0,2.14
56.037,0.0,2.14
56.138,0.0,2.14
56.239,0.0,2.14
56.339,0.0,2.14
56.440,0.0,2.14
56.541,0.0,2.14
56.641,0.0,2.14
56.742,0.0,2.14
56.843,0.0,2.14
56.943,0.0,2.14
57.044,0.0,2.14
57.145,0.0,2.14
57.246,0.0,2.14
57.347,0.0,2.14
57.448,0.0,2.14
57.548,0.0,2.14
57.649,0.0,2.14
57.750,0.0,2.14
57.851,0.0,2.14
57.952,0.0,2.14
58.052,0.0,2.14
58.153,0.0,2.14
58.254,0.0,2.14
58.355,0.0,2.14
58.456,0.0,2.14
58.556,0.0,2.14
58.657,0.0,2.14
58.758,0.0,2.14
58.859,0.0,2.14
58.960,0.0,2.14
59.061,0.0,2.14
59.162,0.0,2.14
59.262,0.0,2.14
59.363,0.0,2.14
59.464,0.0,2.14
59.565,0.0,2.14
59.665,0.0,2.14
59.766,0.0,2.14
59.867,0.0,2.14
59.968,0.0,2.14
60.069,0.0,2.14
60.169,0.0,2.14
60.270,0.0,2.14
60.370,0.0,2.14
60.471,0.0,2.14
60.571,0.0,2.14
60.672,0.0,2.14
60.774,0.0,2.14
60.874,0.0,2.14
60.975,0.0,2.14
61.077,0.0,2.14
61.178,0.0,2.14
61.279,0.0,2.14
61.380,0.0,2.14
61.481,0.0,2.14
61.582,0.0,2.14
61.683,0.0,2.14
61.784,0.0,2.14
61.885,0.0,2.14
61.986,0.0,2.14
62.086,0.0,2.14
62.188,0.0,2.14
62.289,0.0,2.14
62.390,0.0,2.14
62.491,0.0,2.14
62.592,0.0,2.14
62.694,0.0,2.14
62.794,0.0,2.14
62.895,0.0,2.14
62.996,0.0,2.14
63.096,0.0,2.14
63.197,0.0,2.14
63.298,0.0,2.14
63.398,0.0,2.14
63.499,0.0,2.14
63.600,0.0,2.14
63.700,0.0,2.14
63.801,0.0,2.14
63.901,0.0,2.14
64.002,0.0,2.14
64.103,0.0,2.14
64.204,0.0,2.14
64.304,0.0,2.14
64.405,0.0,2.14
64.506,0.0,2.14
64.607,0.0,2.14
64.708,0.0,2.14
64.808,0.0,2.14
64.909,0.0,2.14
65.010,0.0,2.14
65.110,0.0,2.14
65.211,0.0,2.14
65.312,0.0,2.14
65.412,0.0,2.14
65.513,0.0,2.14
65.614,0.0,2.14
65.714,0.0,2.14
65.815,0.0,2.14
65.916,0.0,2.14
66.016,0.0,2.14
66.117,0.0,2.14
66.217,0.0,2.14
66.318,0.0,2.14
66.418,0.0,2.14
66.519,0.0,2.14
66.619,0.0,2.14
66.720,0.0,2.14
66.821,0.0,2.14
66.921,0.0,2.14
67.022,0.0,2.14
67.123,0.0,2.14
67.224,0.0,2.14
67.324,0.0,2.14
67.425,0.0,2.14
67.526,0.0,2.14
67.628,0.0,2.14
67.728,0.0,2.14
67.830,0.0,2.14
67.930,0.0,2.14
68.031,0.0,2.14
68.132,0.0,2.14
68.233,0.0,2.14
68.333,0.0,2.14
68.434,0.0,2.14
68.535,0.0,2.14
68.635,0.0,2.14
68.736,0.0,2.14
68.836,0.0,2.14
68.937,0.0,2.14
69.038,0.0,2.14
69.138,0.0,2.14
69.239,0.0,2.14
69.340,0.0,2.14
69.440,0.0,2.14
69.541,0.0,2.14
69.642,0.0,2.14
69.742,0.0,2.14
69.843,0.0,2.14
69.944,0.0,2.14
70.044,0.0,2.14
70.145,0.0,2.14
70.246,0.0,2.14
70.347,0.0,2.14
70.447,0.0,2.14
70.548,0.0,2.14
70.648,0.0,2.14
70.749,0.0,2.14
70.850,0.0,2.14
70.951,0.0,2.14
71.053,0.0,2.14
71.154,0.0,2.14
71.255,0.0,2.14
71.356,0.0,2.14
71.457,0.0,2.14
71.558,0.0,2.14
71.659,0.0,2.14
71.760,0.0,2.14
71.861,0.0,2.14
71.962,0.0,2.14
72.062,0.0,2.14
72.163,0.0,2.14
72.264,0.0,2.14
72.365,0.0,2.14
72.465,0.0,2.14
72.566,0.0,2.14
72.666,0.0,2.14
72.767,0.0,2.14
72.867,0.0,2.14
72.968,0.0,2.14
73.069,0.0,2.14
73.171,0.0,2.14
73.272,0.0,2.14
73.373,0.0,2.14
73.474,0.0,2.14
73.575,0.0,2.14
73.676,0.0,2.14
73.776,0.0,2.14
73.877,0.0,2.14
73.978,0.0,2.14
74.079,0.0,2.14
74.179,0.0,2.14
74.280,0.0,2.14
74.380,0.0,2.14
74.481,0.0,2.14
74.581,0.0,2.14
