seq,latency_ns,latency_ms
1,44885,0.0449
2,139880,0.1399
3,382297,0.3823
4,378632,0.3786
5,532032,0.532
6,484625,0.4846
7,600210,0.6002
8,213615,0.2136
9,155292,0.1553
10,380711,0.3807
11,629773,0.6298
12,485904,0.4859
13,489387,0.4894
14,564609,0.5646
15,386286,0.3863
16,663601,0.6636
17,689997,0.69
18,672899,0.6729
19,324900,0.3249
20,517395,0.5174
21,537520,0.5375
22,582055,0.5821
23,247236,0.2472
24,457008,0.457
25,526326,0.5263
26,429467,0.4295
27,419146,0.4191
28,579789,0.5798
29,380900,0.3809
30,515595,0.5156
31,279311,0.2793
32,474779,0.4748
33,372719,0.3727
34,632500,0.6325
35,415493,0.4155
36,274676,0.2747
37,361847,0.3618
38,499560,0.4996
39,539092,0.5391
40,665997,0.666
41,625020,0.625
42,112449,0.1124
43,402273,0.4023
44,632515,0.6325
45,388612,0.3886
46,586231,0.5862
47,453319,0.4533
48,591767,0.5918
49,536087,0.5361
50,659304,0.6593
51,164541,0.1645
52,536685,0.5367
53,336148,0.3361
54,290364,0.2904
55,402068,0.4021
56,383709,0.3837
57,566731,0.5667
58,152798,0.1528
59,730060,0.7301
60,433286,0.4333
61,487938,0.4879
62,263550,0.2636
63,666096,0.6661
64,293223,0.2932
65,580182,0.5802
66,710294,0.7103
67,441843,0.4418
68,636159,0.6362
69,585625,0.5856
70,339538,0.3395
71,615885,0.6159
72,712224,0.7122
73,170764,0.1708
74,228648,0.2286
75,380938,0.3809
76,341661,0.3417
77,351472,0.3515
78,398833,0.3988
79,392672,0.3927
80,288140,0.2881
81,427083,0.4271
82,388327,0.3883
83,111816,0.1118
84,390919,0.3909
85,787362,0.7874
86,393960,0.394
87,548950,0.549
88,446692,0.4467
89,625576,0.6256
90,446555,0.4466
91,571262,0.5713
92,475506,0.4755
93,587113,0.5871
94,628554,0.6286
95,483587,0.4836
96,611256,0.6113
97,629746,0.6297
98,511187,0.5112
99,682585,0.6826
100,362350,0.3624
101,390030,0.39
102,138467,0.1385
103,458338,0.4583
104,370769,0.3708
105,169519,0.1695
106,359428,0.3594
107,763869,0.7639
108,929531,0.9295
109,562786,0.5628
110,593929,0.5939
111,638854,0.6389
112,567103,0.5671
113,887252,0.8873
114,120562,0.1206
115,685997,0.686
116,584375,0.5844
117,674365,0.6744
118,493641,0.4936
119,548193,0.5482
120,560706,0.5607
121,311565,0.3116
122,598799,0.5988
123,652330,0.6523
124,543729,0.5437
125,660724,0.6607
126,260348,0.2603
127,570679,0.5707
128,584954,0.585
129,376908,0.3769
130,554250,0.5543
131,552115,0.5521
132,743050,0.743
133,562353,0.5624
134,503843,0.5038
135,426576,0.4266
136,847781,0.8478
137,579973,0.58
138,442130,0.4421
139,483820,0.4838
140,553571,0.5536
141,569821,0.5698
142,631168,0.6312
143,570891,0.5709
144,627382,0.6274
145,520369,0.5204
146,613438,0.6134
147,537506,0.5375
148,369620,0.3696
149,477967,0.478
150,588522,0.5885
151,238840,0.2388
152,462623,0.4626
153,387766,0.3878
154,220564,0.2206
155,649519,0.6495
156,615293,0.6153
157,600712,0.6007
158,486881,0.4869
159,577616,0.5776
160,149689,0.1497
161,548814,0.5488
162,346122,0.3461
163,710323,0.7103
164,394822,0.3948
165,619059,0.6191
166,618854,0.6189
167,565858,0.5659
168,187801,0.1878
169,410754,0.4108
170,538584,0.5386
171,190877,0.1909
172,472670,0.4727
173,647454,0.6475
174,554149,0.5541
175,274987,0.275
176,588255,0.5883
177,475004,0.475
178,477210,0.4772
179,336408,0.3364
180,560637,0.5606
181,453809,0.4538
182,651231,0.6512
183,505318,0.5053
184,621158,0.6212
185,482606,0.4826
186,560373,0.5604
187,662453,0.6625
188,823205,0.8232
189,346893,0.3469
190,157085,0.1571
191,591714,0.5917
192,554784,0.5548
193,393542,0.3935
194,682324,0.6823
195,377060,0.3771
196,342197,0.3422
197,346726,0.3467
198,368775,0.3688
199,384392,0.3844
200,328111,0.3281
201,421968,0.422
202,192606,0.1926
203,509341,0.5093
204,441878,0.4419
205,430233,0.4302
206,449528,0.4495
207,603026,0.603
208,331717,0.3317
209,608118,0.6081
210,487218,0.4872
211,620892,0.6209
212,700261,0.7003
213,244578,0.2446
214,459693,0.4597
215,702811,0.7028
216,403266,0.4033
217,427743,0.4277
218,397803,0.3978
219,536704,0.5367
220,200073,0.2001
221,584251,0.5843
222,398327,0.3983
223,433162,0.4332
224,301096,0.3011
225,518338,0.5183
226,520664,0.5207
227,214046,0.214
228,465752,0.4658
229,157208,0.1572
230,541053,0.5411
231,335494,0.3355
232,432836,0.4328
233,469021,0.469
234,539172,0.5392
235,466802,0.4668
236,494478,0.4945
237,417677,0.4177
238,251858,0.2519
239,516037,0.516
240,554407,0.5544
241,227804,0.2278
242,552975,0.553
243,305182,0.3052
244,403264,0.4033
245,244615,0.2446
246,499113,0.4991
247,261656,0.2617
248,241576,0.2416
249,406869,0.4069
250,615308,0.6153
251,621862,0.6219
252,282982,0.283
253,437732,0.4377
254,552342,0.5523
255,440531,0.4405
256,597532,0.5975
257,190992,0.191
258,563540,0.5635
259,378668,0.3787
260,627856,0.6279
261,467278,0.4673
262,664410,0.6644
263,418890,0.4189
264,646522,0.6465
265,414258,0.4143
266,747972,0.748
267,625835,0.6258
268,285158,0.2852
269,691242,0.6912
270,367918,0.3679
271,537830,0.5378
272,150337,0.1503
273,613999,0.614
274,516301,0.5163
275,396333,0.3963
276,389771,0.3898
277,482702,0.4827
278,298122,0.2981
279,480801,0.4808
280,240612,0.2406
281,483233,0.4832
282,515762,0.5158
283,600409,0.6004
284,587251,0.5873
285,692117,0.6921
286,437909,0.4379
287,319901,0.3199
288,690480,0.6905
289,276505,0.2765
290,591891,0.5919
291,622750,0.6228
292,328971,0.329
293,293355,0.2934
294,296511,0.2965
295,287345,0.2873
296,407730,0.4077
297,411474,0.4115
298,438221,0.4382
299,478338,0.4783
300,517319,0.5173
301,546794,0.5468
302,359255,0.3593
303,562550,0.5625
304,334973,0.335
305,615419,0.6154
306,465884,0.4659
307,593492,0.5935
308,600786,0.6008
309,126277,0.1263
310,329353,0.3294
311,595213,0.5952
312,836315,0.8363
313,610057,0.6101
314,830736,0.8307
315,457405,0.4574
316,567258,0.5673
317,276050,0.2761
318,663505,0.6635
319,669921,0.6699
320,580605,0.5806
321,259235,0.2592
322,576957,0.577
323,447023,0.447
324,519177,0.5192
325,298090,0.2981
326,460079,0.4601
327,212702,0.2127
328,529907,0.5299
329,310068,0.3101
330,379022,0.379
331,506118,0.5061
332,245340,0.2453
333,469294,0.4693
334,464896,0.4649
335,621147,0.6211
336,386527,0.3865
337,821189,0.8212
338,624056,0.6241
339,640789,0.6408
340,452440,0.4524
341,625301,0.6253
342,257553,0.2576
343,541328,0.5413
344,335078,0.3351
345,612026,0.612
346,302005,0.302
347,650187,0.6502
348,361061,0.3611
349,288493,0.2885
350,344117,0.3441
351,253563,0.2536
352,599464,0.5995
353,319742,0.3197
354,563862,0.5639
355,381532,0.3815
356,625477,0.6255
357,476148,0.4761
358,566788,0.5668
359,495689,0.4957
360,724703,0.7247
361,232191,0.2322
362,588926,0.5889
363,624718,0.6247
364,652036,0.652
365,364481,0.3645
366,358561,0.3586
367,556342,0.5563
368,278069,0.2781
369,267348,0.2673
370,437653,0.4377
371,460927,0.4609
372,279020,0.279
373,450511,0.4505
374,387797,0.3878
375,430970,0.431
376,277489,0.2775
377,496075,0.4961
378,257364,0.2574
379,421089,0.4211
380,312993,0.313
381,463271,0.4633
382,203153,0.2032
383,561009,0.561
384,829579,0.8296
385,554157,0.5542
386,374591,0.3746
387,333268,0.3333
388,227679,0.2277
389,338316,0.3383
390,403331,0.4033
391,537321,0.5373
392,601751,0.6018
393,430495,0.4305
394,485497,0.4855
395,726463,0.7265
396,460869,0.4609
397,880189,0.8802
398,517547,0.5175
399,616392,0.6164
400,363186,0.3632
401,640328,0.6403
402,437253,0.4373
403,591244,0.5912
404,531138,0.5311
405,607869,0.6079
406,600891,0.6009
407,532875,0.5329
408,233749,0.2337
409,664390,0.6644
410,490792,0.4908
411,652822,0.6528
412,600417,0.6004
413,609387,0.6094
414,256896,0.2569
415,756444,0.7564
416,527286,0.5273
417,906611,0.9066
418,439561,0.4396
419,129566,0.1296
420,623309,0.6233
421,534525,0.5345
422,190340,0.1903
423,292871,0.2929
424,610662,0.6107
425,581456,0.5815
426,523389,0.5234
427,477214,0.4772
428,507093,0.5071
429,412623,0.4126
430,447974,0.448
431,564900,0.5649
432,519913,0.5199
433,284895,0.2849
434,284845,0.2848
435,548210,0.5482
436,299296,0.2993
437,525016,0.525
438,335111,0.3351
439,123184,0.1232
440,301730,0.3017
441,279021,0.279
442,644936,0.6449
443,416986,0.417
444,283869,0.2839
445,472209,0.4722
446,354184,0.3542
447,425212,0.4252
448,532859,0.5329
449,439212,0.4392
450,188237,0.1882
451,311692,0.3117
452,581420,0.5814
453,383866,0.3839
454,478552,0.4786
455,392678,0.3927
456,511358,0.5114
457,504905,0.5049
458,353129,0.3531
459,505471,0.5055
460,563090,0.5631
461,684110,0.6841
462,321792,0.3218
463,323758,0.3238
464,311170,0.3112
465,545014,0.545
466,310940,0.3109
467,624363,0.6244
468,477441,0.4774
469,567811,0.5678
470,494811,0.4948
471,566046,0.566
472,658351,0.6584
473,527204,0.5272
474,381327,0.3813
475,320921,0.3209
476,454394,0.4544
477,441791,0.4418
478,372229,0.3722
479,383848,0.3838
480,356237,0.3562
481,418428,0.4184
482,331338,0.3313
483,139584,0.1396
484,508663,0.5087
485,380099,0.3801
486,683440,0.6834
487,430187,0.4302
488,424886,0.4249
489,616418,0.6164
490,346877,0.3469
491,291941,0.2919
492,694871,0.6949
493,345607,0.3456
494,616574,0.6166
495,190799,0.1908
496,621852,0.6219
497,183496,0.1835
498,583767,0.5838
499,465637,0.4656
500,504717,0.5047
501,390047,0.39
502,701974,0.702
503,528694,0.5287
504,595589,0.5956
505,243632,0.2436
506,237942,0.2379
507,397685,0.3977
508,647237,0.6472
509,572234,0.5722
510,501314,0.5013
511,326833,0.3268
512,515751,0.5158
513,578969,0.579
514,576072,0.5761
515,914120,0.9141
516,555180,0.5552
517,645818,0.6458
518,517915,0.5179
519,666914,0.6669
520,463852,0.4639
521,540914,0.5409
522,469925,0.4699
523,154168,0.1542
524,440194,0.4402
525,218569,0.2186
526,514655,0.5147
527,311337,0.3113
528,482956,0.483
529,458928,0.4589
530,374285,0.3743
531,372173,0.3722
532,399798,0.3998
533,208681,0.2087
534,560505,0.5605
535,415404,0.4154
536,432092,0.4321
537,517412,0.5174
538,226976,0.227
539,397525,0.3975
540,558597,0.5586
541,624027,0.624
542,465453,0.4655
543,307092,0.3071
544,617901,0.6179
545,294077,0.2941
546,597379,0.5974
547,546384,0.5464
548,94771,0.0948
549,321545,0.3215
550,621411,0.6214
551,350127,0.3501
552,555799,0.5558
553,391201,0.3912
554,631664,0.6317
555,598938,0.5989
556,549248,0.5492
557,179856,0.1799
558,592816,0.5928
559,643269,0.6433
560,591358,0.5914
561,535498,0.5355
562,556858,0.5569
563,573956,0.574
564,592426,0.5924
565,391639,0.3916
566,586986,0.587
567,585069,0.5851
568,468294,0.4683
569,332930,0.3329
570,738002,0.738
571,477403,0.4774
572,521374,0.5214
573,419290,0.4193
574,459765,0.4598
575,470350,0.4703
576,611921,0.6119
577,551411,0.5514
578,467595,0.4676
579,657055,0.6571
580,530305,0.5303
581,463189,0.4632
582,333778,0.3338
583,673482,0.6735
584,424717,0.4247
585,706595,0.7066
586,450531,0.4505
587,529765,0.5298
588,511796,0.5118
589,598623,0.5986
590,489659,0.4897
591,320253,0.3203
592,571185,0.5712
593,375391,0.3754
594,372267,0.3723
595,718138,0.7181
596,654011,0.654
597,510194,0.5102
598,556436,0.5564
599,793832,0.7938
600,437004,0.437
601,353601,0.3536
602,584717,0.5847
603,210133,0.2101
604,595452,0.5955
605,390384,0.3904
606,578450,0.5785
607,584872,0.5849
608,636199,0.6362
609,521089,0.5211
610,636940,0.6369
611,601366,0.6014
612,564658,0.5647
613,325321,0.3253
614,475192,0.4752
615,277589,0.2776
616,550413,0.5504
617,458946,0.4589
618,565482,0.5655
619,530626,0.5306
620,235812,0.2358
621,464182,0.4642
622,424358,0.4244
623,612383,0.6124
624,342025,0.342
625,385926,0.3859
626,375789,0.3758
627,363011,0.363
628,265811,0.2658
629,191555,0.1916
630,761732,0.7617
631,654241,0.6542
632,506424,0.5064
633,769318,0.7693
634,413844,0.4138
635,648753,0.6488
636,482222,0.4822
637,314552,0.3146
638,445314,0.4453
639,533013,0.533
640,391076,0.3911
641,451282,0.4513
642,478258,0.4783
643,164478,0.1645
644,155261,0.1553
645,288008,0.288
646,394951,0.395
647,883671,0.8837
648,463970,0.464
649,419040,0.419
650,705967,0.706
651,407107,0.4071
652,121753,0.1218
653,513594,0.5136
654,597031,0.597
655,547425,0.5474
656,611832,0.6118
657,574575,0.5746
658,648122,0.6481
659,597243,0.5972
660,249995,0.25
661,617194,0.6172
662,601169,0.6012
663,621097,0.6211
664,621222,0.6212
665,561429,0.5614
666,637330,0.6373
667,379061,0.3791
668,382447,0.3824
669,479828,0.4798
670,429523,0.4295
671,388586,0.3886
672,461019,0.461
673,590966,0.591
674,302572,0.3026
675,466859,0.4669
676,556015,0.556
677,608701,0.6087
678,462287,0.4623
679,288235,0.2882
680,502053,0.5021
681,363123,0.3631
682,318216,0.3182
683,393726,0.3937
684,727372,0.7274
685,540702,0.5407
686,480663,0.4807
687,621633,0.6216
688,544161,0.5442
689,162165,0.1622
690,577338,0.5773
691,478849,0.4788
692,419824,0.4198
693,534908,0.5349
694,527450,0.5274
695,569991,0.57
696,491628,0.4916
697,604123,0.6041
698,586654,0.5867
699,151235,0.1512
700,509351,0.5094
701,691514,0.6915
702,572173,0.5722
703,692015,0.692
704,599517,0.5995
705,671628,0.6716
706,212174,0.2122
707,663255,0.6633
708,597014,0.597
709,350017,0.35
710,128224,0.1282
711,215048,0.215
712,614587,0.6146
713,165645,0.1656
714,562711,0.5627
715,602682,0.6027
716,552972,0.553
717,558327,0.5583
718,556699,0.5567
719,448704,0.4487
720,622393,0.6224
721,623346,0.6233
722,557200,0.5572
723,373187,0.3732
724,387746,0.3877
725,448725,0.4487
726,360470,0.3605
727,412183,0.4122
728,600810,0.6008
729,167555,0.1676
730,827143,0.8271
731,612366,0.6124
732,620493,0.6205
733,632927,0.6329
734,584623,0.5846
735,703413,0.7034
736,452190,0.4522
737,349138,0.3491
738,571142,0.5711
739,449280,0.4493
740,683128,0.6831
741,448961,0.449
742,259091,0.2591
743,458527,0.4585
744,478180,0.4782
745,499611,0.4996
746,520580,0.5206
747,374150,0.3741
748,450123,0.4501
749,628923,0.6289
750,402842,0.4028
751,715377,0.7154
752,507509,0.5075
753,355771,0.3558
754,700713,0.7007
755,665140,0.6651
756,448426,0.4484
757,618600,0.6186
758,423598,0.4236
759,600475,0.6005
760,343951,0.344
761,338177,0.3382
762,425618,0.4256
763,400662,0.4007
764,335433,0.3354
765,535210,0.5352
766,463433,0.4634
767,587617,0.5876
768,434439,0.4344
769,606015,0.606
770,313929,0.3139
771,299403,0.2994
772,478049,0.478
773,350545,0.3505
774,299847,0.2998
775,213225,0.2132
776,439639,0.4396
777,247570,0.2476
778,729591,0.7296
779,482277,0.4823
780,666256,0.6663
781,447110,0.4471
782,587555,0.5876
783,400376,0.4004
784,428441,0.4284
785,544058,0.5441
786,108456,0.1085
787,582536,0.5825
788,459299,0.4593
789,409393,0.4094
790,526754,0.5268
791,599391,0.5994
792,892617,0.8926
793,704496,0.7045
794,380308,0.3803
795,421856,0.4219
796,556589,0.5566
797,555149,0.5551
798,437887,0.4379
799,388737,0.3887
800,476523,0.4765
801,742812,0.7428
802,321832,0.3218
803,630881,0.6309
804,597239,0.5972
805,515237,0.5152
806,311423,0.3114
807,730101,0.7301
808,292400,0.2924
809,660608,0.6606
810,433879,0.4339
811,354590,0.3546
812,558810,0.5588
813,761169,0.7612
814,386856,0.3869
815,561275,0.5613
816,487898,0.4879
817,388133,0.3881
818,413373,0.4134
819,280694,0.2807
820,426422,0.4264
821,339718,0.3397
822,338034,0.338
823,373045,0.373
824,406896,0.4069
825,314060,0.3141
826,511290,0.5113
827,309564,0.3096
828,464176,0.4642
829,364373,0.3644
830,573905,0.5739
831,492852,0.4929
832,456205,0.4562
833,699774,0.6998
834,282265,0.2823
835,432660,0.4327
836,565608,0.5656
837,378193,0.3782
838,593259,0.5933
839,674156,0.6742
840,391533,0.3915
841,543884,0.5439
842,471356,0.4714
843,427188,0.4272
844,134285,0.1343
845,735863,0.7359
846,573646,0.5736
847,116147,0.1161
848,818477,0.8185
849,352299,0.3523
850,727083,0.7271
851,378137,0.3781
852,618932,0.6189
853,423928,0.4239
854,430268,0.4303
855,428407,0.4284
856,520650,0.5206
857,668518,0.6685
858,560249,0.5602
859,481538,0.4815
860,586230,0.5862
861,106406,0.1064
862,563130,0.5631
863,610237,0.6102
864,490333,0.4903
865,560998,0.561
866,431418,0.4314
867,611252,0.6113
868,288430,0.2884
869,220845,0.2208
870,620707,0.6207
871,461136,0.4611
872,417482,0.4175
873,477756,0.4778
874,319801,0.3198
875,538895,0.5389
876,609299,0.6093
877,861020,0.861
878,450746,0.4507
879,611445,0.6114
880,596041,0.596
881,515080,0.5151
882,463699,0.4637
883,483859,0.4839
884,381527,0.3815
885,441370,0.4414
886,365946,0.3659
887,432874,0.4329
888,470582,0.4706
889,129436,0.1294
890,330096,0.3301
891,574045,0.574
892,403503,0.4035
893,439259,0.4393
894,508907,0.5089
895,599299,0.5993
896,298496,0.2985
897,496431,0.4964
898,605060,0.6051
899,220473,0.2205
900,692399,0.6924
901,597066,0.5971
902,792910,0.7929
903,709731,0.7097
904,414799,0.4148
905,317127,0.3171
906,279464,0.2795
907,230314,0.2303
908,461069,0.4611
909,349671,0.3497
910,631061,0.6311
911,384887,0.3849
912,243369,0.2434
913,578111,0.5781
914,328222,0.3282
915,291394,0.2914
916,390675,0.3907
917,512398,0.5124
918,396818,0.3968
919,456781,0.4568
920,633381,0.6334
921,605878,0.6059
922,406904,0.4069
923,670940,0.6709
924,538116,0.5381
925,631436,0.6314
926,485633,0.4856
927,715439,0.7154
928,559091,0.5591
929,565836,0.5658
930,482092,0.4821
931,603114,0.6031
932,234601,0.2346
933,410185,0.4102
934,310093,0.3101
935,410675,0.4107
936,392312,0.3923
937,441527,0.4415
938,456670,0.4567
939,683038,0.683
940,451355,0.4514
941,378629,0.3786
942,485304,0.4853
943,705908,0.7059
944,462656,0.4627
945,493867,0.4939
946,558107,0.5581
947,570289,0.5703
948,317531,0.3175
949,581965,0.582
950,659301,0.6593
951,355774,0.3558
952,620535,0.6205
953,430734,0.4307
954,489260,0.4893
955,482500,0.4825
956,395743,0.3957
957,472295,0.4723
958,690374,0.6904
959,370045,0.37
960,358797,0.3588
961,385038,0.385
962,577319,0.5773
963,421728,0.4217
964,360256,0.3603
965,453428,0.4534
966,238367,0.2384
967,448391,0.4484
968,372264,0.3723
969,741643,0.7416
970,431342,0.4313
971,442383,0.4424
972,306741,0.3067
973,567840,0.5678
974,359232,0.3592
975,533638,0.5336
976,332238,0.3322
977,569868,0.5699
978,458201,0.4582
979,550135,0.5501
980,181876,0.1819
981,568532,0.5685
982,154727,0.1547
983,601197,0.6012
984,421769,0.4218
985,559266,0.5593
986,476953,0.477
987,565695,0.5657
988,505548,0.5055
989,545188,0.5452
990,472761,0.4728
991,649341,0.6493
992,450109,0.4501
993,729969,0.73
994,559690,0.5597
995,928398,0.9284
996,460164,0.4602
997,808001,0.808
998,611413,0.6114
999,521122,0.5211
1000,543192,0.5432
