elapsed_s,cpu_percent,memory_mb
0.001,0.0,2.14
0.102,0.0,2.14
0.203,0.0,2.14
0.304,0.0,2.14
0.404,0.0,2.14
0.505,0.0,2.14
0.605,0.0,2.14
0.706,0.0,2.14
0.807,0.0,2.14
0.909,0.0,2.14
1.009,0.0,2.14
1.111,0.0,2.14
1.211,0.0,2.14
1.312,0.0,2.14
1.413,0.0,2.14
1.513,0.0,2.14
1.614,0.0,2.14
1.714,0.0,2.14
1.815,0.0,2.14
1.916,0.0,2.14
2.017,0.0,2.14
2.118,0.0,2.14
2.219,0.0,2.14
2.319,0.0,2.14
2.420,0.0,2.14
2.521,0.0,2.14
2.621,0.0,2.14
2.722,0.0,2.14
2.823,0.0,2.14
2.923,0.0,2.14
3.024,0.0,2.14
3.125,0.0,2.14
3.226,0.0,2.14
3.326,0.0,2.14
3.427,0.0,2.14
3.528,0.0,2.14
3.628,0.0,2.14
3.729,0.0,2.14
3.830,0.0,2.14
3.931,0.0,2.14
4.031,0.0,2.14
4.132,0.0,2.14
4.233,0.0,2.14
4.334,0.0,2.14
4.434,9.9,2.14
4.535,0.0,2.14
4.636,0.0,2.14
4.736,0.0,2.14
4.837,0.0,2.14
4.937,0.0,2.14
5.038,0.0,2.14
5.138,0.0,2.14
5.239,0.0,2.14
5.340,0.0,2.14
5.440,0.0,2.14
5.541,0.0,2.14
5.641,0.0,2.14
5.742,0.0,2.14
5.842,0.0,2.14
5.943,0.0,2.14
6.043,0.0,2.14
6.144,0.0,2.14
6.244,0.0,2.14
6.345,0.0,2.14
6.445,0.0,2.14
6.546,0.0,2.14
6.647,0.0,2.14
6.748,0.0,2.14
6.849,0.0,2.14
6.950,0.0,2.14
7.051,0.0,2.14
7.152,0.0,2.14
7.253,0.0,2.14
7.353,0.0,2.14
7.454,0.0,2.14
7.555,0.0,2.14
7.656,0.0,2.14
7.756,0.0,2.14
7.857,0.0,2.14
7.958,0.0,2.14
8.058,0.0,2.14
8.159,0.0,2.14
8.260,0.0,2.14
8.360,0.0,2.14
8.461,0.0,2.14
8.562,0.0,2.14
8.663,9.9,2.14
8.763,0.0,2.14
8.864,0.0,2.14
8.965,0.0,2.14
9.067,0.0,2.14
9.168,0.0,2.14
9.269,0.0,2.14
9.370,0.0,2.14
9.472,0.0,2.14
9.573,0.0,2.14
9.674,0.0,2.14
9.775,0.0,2.14
9.875,0.0,2.14
9.976,0.0,2.14
10.077,0.0,2.14
10.178,0.0,2.14
10.279,0.0,2.14
10.380,0.0,2.14
10.481,0.0,2.14
10.581,0.0,2.14
10.682,0.0,2.14
10.783,0.0,2.14
10.885,0.0,2.14
10.986,0.0,2.14
11.086,0.0,2.14
11.188,0.0,2.14
11.289,0.0,2.14
11.390,0.0,2.14
11.491,0.0,2.14
11.592,0.0,2.14
11.693,0.0,2.14
11.794,0.0,2.14
11.895,0.0,2.14
11.995,0.0,2.14
12.097,0.0,2.14
12.197,0.0,2.14
12.298,0.0,2.14
12.399,0.0,2.14
12.500,0.0,2.14
12.601,0.0,2.14
12.702,0.0,2.14
12.803,0.0,2.14
12.904,0.0,2.14
13.005,0.0,2.14
13.106,0.0,2.14
13.207,0.0,2.14
13.308,0.0,2.14
13.409,0.0,2.14
13.509,0.0,2.14
13.610,9.9,2.14
13.711,0.0,2.14
13.812,0.0,2.14
13.914,0.0,2.14
14.014,0.0,2.14
14.115,0.0,2.14
14.216,0.0,2.14
14.317,0.0,2.14
14.418,0.0,2.14
14.518,0.0,2.14
14.620,0.0,2.14
14.720,0.0,2.14
14.822,0.0,2.14
14.923,0.0,2.14
15.024,0.0,2.14
15.124,0.0,2.14
15.225,9.9,2.14
15.326,0.0,2.14
15.427,0.0,2.14
15.528,0.0,2.14
15.629,0.0,2.14
15.730,0.0,2.14
15.830,0.0,2.14
15.931,0.0,2.14
16.032,0.0,2.14
16.133,0.0,2.14
16.234,0.0,2.14
16.336,0.0,2.14
16.437,0.0,2.14
16.537,0.0,2.14
16.637,0.0,2.14
16.738,0.0,2.14
16.839,0.0,2.14
16.941,0.0,2.14
17.041,0.0,2.14
17.142,0.0,2.14
17.243,0.0,2.14
17.344,0.0,2.14
17.444,0.0,2.14
17.545,0.0,2.14
17.646,0.0,2.14
17.747,0.0,2.14
17.847,0.0,2.14
17.948,0.0,2.14
18.049,0.0,2.14
18.149,0.0,2.14
18.250,9.9,2.14
18.351,0.0,2.14
18.451,0.0,2.14
18.552,0.0,2.14
18.653,0.0,2.14
18.754,0.0,2.14
18.855,0.0,2.14
18.955,0.0,2.14
19.056,0.0,2.14
19.157,0.0,2.14
19.258,0.0,2.14
19.358,0.0,2.14
19.459,0.0,2.14
19.560,0.0,2.14
19.661,0.0,2.14
19.761,0.0,2.14
19.862,0.0,2.14
19.963,0.0,2.14
20.064,0.0,2.14
20.164,0.0,2.14
20.265,0.0,2.14
20.366,0.0,2.14
20.467,0.0,2.14
20.567,0.0,2.14
20.669,0.0,2.14
20.770,0.0,2.14
20.870,0.0,2.14
20.971,0.0,2.14
21.071,0.0,2.14
21.172,0.0,2.14
21.273,0.0,2.14
21.374,0.0,2.14
21.475,0.0,2.14
21.576,0.0,2.14
21.677,0.0,2.14
21.777,0.0,2.14
21.878,0.0,2.14
21.978,0.0,2.14
22.079,0.0,2.14
22.179,10.0,2.14
22.280,0.0,2.14
22.381,0.0,2.14
22.482,0.0,2.14
22.583,0.0,2.14
22.684,0.0,2.14
22.785,0.0,2.14
22.885,0.0,2.14
22.985,0.0,2.14
23.087,0.0,2.14
23.188,0.0,2.14
23.289,0.0,2.14
23.390,0.0,2.14
23.491,0.0,2.14
23.592,0.0,2.14
23.692,0.0,2.14
23.793,0.0,2.14
23.895,0.0,2.14
23.996,0.0,2.14
24.097,0.0,2.14
24.198,0.0,2.14
24.299,0.0,2.14
24.399,0.0,2.14
24.500,0.0,2.14
24.601,0.0,2.14
24.703,0.0,2.14
24.803,0.0,2.14
24.905,0.0,2.14
25.006,0.0,2.14
25.107,0.0,2.14
25.208,0.0,2.14
25.308,0.0,2.14
25.410,0.0,2.14
25.511,0.0,2.14
25.612,0.0,2.14
25.713,0.0,2.14
25.814,0.0,2.14
25.915,0.0,2.14
26.015,0.0,2.14
26.116,0.0,2.14
26.218,0.0,2.14
26.319,0.0,2.14
26.420,0.0,2.14
26.521,0.0,2.14
26.621,0.0,2.14
26.722,9.9,2.14
26.823,0.0,2.14
26.924,0.0,2.14
27.025,0.0,2.14
27.125,0.0,2.14
27.226,0.0,2.14
27.326,0.0,2.14
27.427,0.0,2.14
27.527,0.0,2.14
27.628,0.0,2.14
27.729,0.0,2.14
27.829,0.0,2.14
27.930,0.0,2.14
28.031,0.0,2.14
28.131,0.0,2.14
28.232,0.0,2.14
28.333,0.0,2.14
28.434,0.0,2.14
28.535,0.0,2.14
28.635,0.0,2.14
28.736,0.0,2.14
28.838,0.0,2.14
28.939,0.0,2.14
29.040,0.0,2.14
29.141,0.0,2.14
29.242,0.0,2.14
29.343,0.0,2.14
29.443,0.0,2.14
29.544,0.0,2.14
29.645,0.0,2.14
29.745,0.0,2.14
29.846,0.0,2.14
29.946,0.0,2.14
30.047,0.0,2.14
30.148,0.0,2.14
30.249,0.0,2.14
30.350,0.0,2.14
30.451,0.0,2.14
30.552,0.0,2.14
30.653,0.0,2.14
30.754,0.0,2.14
30.856,0.0,2.14
30.956,0.0,2.14
31.057,0.0,2.14
31.158,0.0,2.14
31.259,0.0,2.14
31.360,0.0,2.14
31.461,0.0,2.14
31.562,9.9,2.14
31.664,0.0,2.14
31.764,0.0,2.14
31.865,0.0,2.14
31.966,0.0,2.14
32.068,0.0,2.14
32.169,0.0,2.14
32.270,0.0,2.14
32.370,0.0,2.14
32.471,0.0,2.14
32.571,0.0,2.14
32.672,0.0,2.14
32.773,0.0,2.14
32.873,0.0,2.14
32.973,0.0,2.14
33.075,0.0,2.14
33.176,0.0,2.14
33.277,0.0,2.14
33.378,0.0,2.14
33.478,0.0,2.14
33.580,0.0,2.14
33.681,0.0,2.14
33.781,0.0,2.14
33.882,0.0,2.14
33.984,0.0,2.14
34.085,0.0,2.14
34.188,0.0,2.14
34.289,0.0,2.14
34.389,0.0,2.14
34.490,0.0,2.14
34.591,0.0,2.14
34.692,0.0,2.14
34.794,0.0,2.14
34.895,0.0,2.14
34.996,0.0,2.14
35.097,0.0,2.14
35.198,0.0,2.14
35.300,0.0,2.14
35.401,0.0,2.14
35.502,0.0,2.14
35.603,0.0,2.14
35.704,0.0,2.14
35.805,9.9,2.14
35.906,0.0,2.14
36.007,0.0,2.14
36.108,0.0,2.14
36.209,0.0,2.14
36.310,0.0,2.14
36.411,9.9,2.14
36.512,0.0,2.14
36.613,0.0,2.14
36.714,0.0,2.14
36.815,0.0,2.14
36.916,0.0,2.14
37.017,0.0,2.14
37.118,0.0,2.14
37.220,0.0,2.14
37.321,0.0,2.14
37.421,0.0,2.14
37.522,0.0,2.14
37.623,0.0,2.14
37.724,0.0,2.14
37.824,0.0,2.14
37.925,0.0,2.14
38.025,0.0,2.14
38.126,0.0,2.14
38.226,0.0,2.14
38.327,0.0,2.14
38.428,0.0,2.14
38.529,0.0,2.14
38.629,0.0,2.14
38.730,0.0,2.14
38.830,0.0,2.14
38.931,0.0,2.14
39.033,0.0,2.14
39.134,0.0,2.14
39.235,0.0,2.14
39.336,0.0,2.14
39.436,0.0,2.14
39.537,0.0,2.14
39.638,0.0,2.14
39.738,0.0,2.14
39.839,0.0,2.14
39.940,0.0,2.14
40.041,0.0,2.14
40.142,0.0,2.14
40.242,0.0,2.14
40.343,0.0,2.14
40.444,0.0,2.14
40.544,0.0,2.14
40.645,0.0,2.14
40.746,0.0,2.14
40.848,0.0,2.14
40.949,0.0,2.14
41.050,0.0,2.14
41.152,9.9,2.14
41.253,0.0,2.14
41.354,0.0,2.14
41.454,0.0,2.14
41.555,0.0,2.14
41.656,0.0,2.14
41.757,0.0,2.14
41.858,0.0,2.14
41.958,0.0,2.14
42.059,0.0,2.14
42.160,0.0,2.14
42.261,0.0,2.14
42.362,0.0,2.14
42.462,0.0,2.14
42.563,0.0,2.14
42.664,0.0,2.14
42.765,0.0,2.14
42.865,0.0,2.14
42.966,0.0,2.14
43.066,0.0,2.14
43.168,0.0,2.14
43.269,0.0,2.14
43.370,0.0,2.14
43.471,0.0,2.14
43.573,0.0,2.14
43.674,0.0,2.14
43.775,0.0,2.14
43.876,0.0,2.14
43.976,0.0,2.14
44.077,0.0,2.14
44.178,0.0,2.14
44.279,0.0,2.14
44.379,0.0,2.14
44.480,0.0,2.14
44.581,0.0,2.14
44.683,0.0,2.14
44.784,0.0,2.14
44.885,9.9,2.14
44.987,0.0,2.14
45.088,0.0,2.14
45.189,0.0,2.14
45.290,0.0,2.14
45.392,0.0,2.14
45.493,0.0,2.14
45.595,0.0,2.14
45.695,0.0,2.14
45.796,0.0,2.14
45.897,0.0,2.14
45.997,0.0,2.14
46.098,0.0,2.14
46.199,0.0,2.14
46.300,0.0,2.14
46.400,0.0,2.14
46.501,0.0,2.14
46.602,0.0,2.14
46.703,0.0,2.14
46.803,0.0,2.14
46.904,0.0,2.14
47.004,0.0,2.14
47.105,0.0,2.14
47.205,0.0,2.14
47.306,0.0,2.14
47.407,0.0,2.14
47.508,0.0,2.14
47.609,0.0,2.14
47.709,0.0,2.14
47.810,0.0,2.14
47.910,0.0,2.14
48.011,0.0,2.14
48.112,0.0,2.14
48.213,0.0,2.14
48.313,0.0,2.14
48.414,0.0,2.14
48.515,0.0,2.14
48.616,0.0,2.14
48.716,0.0,2.14
48.818,0.0,2.14
48.919,0.0,2.14
49.020,0.0,2.14
49.121,0.0,2.14
49.222,0.0,2.14
49.323,0.0,2.14
49.424,9.9,2.14
49.525,0.0,2.14
49.626,0.0,2.14
49.727,0.0,2.14
49.827,0.0,2.14
49.929,0.0,2.14
50.030,0.0,2.14
50.131,0.0,2.14
50.232,0.0,2.14
50.334,0.0,2.14
50.435,0.0,2.14
50.536,0.0,2.14
50.637,0.0,2.14
