seq,latency_ns,latency_ms
1,43507,0.0435
2,102764,0.1028
3,108701,0.1087
4,134212,0.1342
5,136069,0.1361
6,145045,0.145
7,150728,0.1507
8,140731,0.1407
9,148858,0.1489
10,146066,0.1461
11,146994,0.147
12,144401,0.1444
13,138927,0.1389
14,213738,0.2137
15,665463,0.6655
16,950349,0.9503
17,643821,0.6438
18,607806,0.6078
19,869376,0.8694
20,340181,0.3402
21,602075,0.6021
22,136546,0.1365
23,660189,0.6602
24,607249,0.6072
25,669678,0.6697
26,610384,0.6104
27,672660,0.6727
28,690375,0.6904
29,678753,0.6788
30,693730,0.6937
31,751437,0.7514
32,604911,0.6049
33,676407,0.6764
34,749006,0.749
35,618681,0.6187
36,624824,0.6248
37,650140,0.6501
38,631670,0.6317
39,945692,0.9457
40,510831,0.5108
41,554449,0.5544
42,519330,0.5193
43,459174,0.4592
44,569413,0.5694
45,420225,0.4202
46,500528,0.5005
47,459121,0.4591
48,570468,0.5705
49,511739,0.5117
50,524584,0.5246
51,606825,0.6068
52,507247,0.5072
53,579966,0.58
54,635881,0.6359
55,518533,0.5185
56,731065,0.7311
57,512111,0.5121
58,511085,0.5111
59,665374,0.6654
60,869498,0.8695
61,558944,0.5589
62,564835,0.5648
63,557691,0.5577
64,540630,0.5406
65,561690,0.5617
66,565497,0.5655
67,532140,0.5321
68,571633,0.5716
69,577368,0.5774
70,474082,0.4741
71,542287,0.5423
72,513445,0.5134
73,327346,0.3273
74,199064,0.1991
75,452156,0.4522
76,583931,0.5839
77,440828,0.4408
78,552715,0.5527
79,550790,0.5508
80,499252,0.4993
81,600361,0.6004
82,522336,0.5223
83,558436,0.5584
84,470561,0.4706
85,468146,0.4681
86,523646,0.5236
87,521843,0.5218
88,402327,0.4023
89,386240,0.3862
90,530893,0.5309
91,557278,0.5573
92,472756,0.4728
93,530958,0.531
94,466661,0.4667
95,512295,0.5123
96,444844,0.4448
97,540148,0.5401
98,463553,0.4636
99,551268,0.5513
100,522257,0.5223
101,423781,0.4238
102,519950,0.52
103,461850,0.4618
104,501531,0.5015
105,514411,0.5144
106,535936,0.5359
107,474467,0.4745
108,552779,0.5528
109,607909,0.6079
110,593655,0.5937
111,592438,0.5924
112,540809,0.5408
113,471999,0.472
114,477221,0.4772
115,394079,0.3941
116,557522,0.5575
117,503302,0.5033
118,465912,0.4659
119,481798,0.4818
120,552953,0.553
121,546973,0.547
122,496356,0.4964
123,296737,0.2967
124,328313,0.3283
125,438255,0.4383
126,551297,0.5513
127,480850,0.4808
128,507190,0.5072
129,551122,0.5511
130,534962,0.535
131,396460,0.3965
132,520089,0.5201
133,582151,0.5822
134,590211,0.5902
135,610272,0.6103
136,583212,0.5832
137,593717,0.5937
138,561688,0.5617
139,619208,0.6192
140,658643,0.6586
141,609371,0.6094
142,629013,0.629
143,618499,0.6185
144,618010,0.618
145,698758,0.6988
146,622178,0.6222
147,652076,0.6521
148,604462,0.6045
149,658004,0.658
150,615992,0.616
151,625956,0.626
152,668135,0.6681
153,619388,0.6194
154,661337,0.6613
155,1011295,1.0113
156,611607,0.6116
157,643776,0.6438
158,617145,0.6171
159,613352,0.6134
160,666677,0.6667
161,614707,0.6147
162,699213,0.6992
163,627302,0.6273
164,637440,0.6374
165,622603,0.6226
166,598603,0.5986
167,684066,0.6841
168,690011,0.69
169,685977,0.686
170,614190,0.6142
171,621637,0.6216
172,694348,0.6943
173,666972,0.667
174,658717,0.6587
175,679395,0.6794
176,432129,0.4321
177,653801,0.6538
178,602636,0.6026
179,620583,0.6206
180,283216,0.2832
181,384238,0.3842
182,244798,0.2448
183,329742,0.3297
184,438419,0.4384
185,624587,0.6246
186,746515,0.7465
187,749334,0.7493
188,652015,0.652
189,905703,0.9057
190,712090,0.7121
191,673917,0.6739
192,619489,0.6195
193,979197,0.9792
194,630832,0.6308
195,608208,0.6082
196,653294,0.6533
197,641155,0.6412
198,438183,0.4382
199,760249,0.7602
200,650481,0.6505
201,649478,0.6495
202,196710,0.1967
203,617437,0.6174
204,664234,0.6642
205,154610,0.1546
206,328694,0.3287
207,329145,0.3291
208,151124,0.1511
209,690135,0.6901
210,174637,0.1746
211,150991,0.151
212,177714,0.1777
213,379615,0.3796
214,338264,0.3383
215,373146,0.3731
216,614335,0.6143
217,648997,0.649
218,143837,0.1438
219,174584,0.1746
220,273695,0.2737
221,233479,0.2335
222,216106,0.2161
223,141893,0.1419
224,158660,0.1587
225,606571,0.6066
226,187458,0.1875
227,600576,0.6006
228,612025,0.612
229,707146,0.7071
230,641687,0.6417
231,635974,0.636
232,267754,0.2678
233,148981,0.149
234,149792,0.1498
235,250175,0.2502
236,163130,0.1631
237,693754,0.6938
238,670957,0.671
239,632101,0.6321
240,699860,0.6999
241,647843,0.6478
242,889872,0.8899
243,161822,0.1618
244,258420,0.2584
245,222753,0.2228
246,338749,0.3387
247,240160,0.2402
248,182872,0.1829
249,430184,0.4302
250,241780,0.2418
251,619971,0.62
252,465953,0.466
253,472580,0.4726
254,145436,0.1454
255,598753,0.5988
256,648428,0.6484
257,756957,0.757
258,673520,0.6735
259,1081324,1.0813
260,603497,0.6035
261,176207,0.1762
262,170451,0.1705
263,207626,0.2076
264,551591,0.5516
265,625742,0.6257
266,614306,0.6143
267,632088,0.6321
268,619951,0.62
269,619848,0.6198
270,670519,0.6705
271,239548,0.2395
272,223340,0.2233
273,428812,0.4288
274,295054,0.2951
275,593891,0.5939
276,706749,0.7067
277,606269,0.6063
278,466711,0.4667
279,549858,0.5499
280,610775,0.6108
281,617761,0.6178
282,436913,0.4369
283,652725,0.6527
284,935702,0.9357
285,612468,0.6125
286,665447,0.6654
287,292913,0.2929
288,598077,0.5981
289,259357,0.2594
290,647332,0.6473
291,663276,0.6633
292,655320,0.6553
293,645942,0.6459
294,322491,0.3225
295,209894,0.2099
296,650593,0.6506
297,901607,0.9016
298,219064,0.2191
299,614207,0.6142
300,144030,0.144
301,682560,0.6826
302,864055,0.8641
303,718169,0.7182
304,658399,0.6584
305,787963,0.788
306,1030719,1.0307
307,619040,0.619
308,588510,0.5885
309,1093968,1.094
310,301527,0.3015
311,244009,0.244
312,140222,0.1402
