elapsed_s,cpu_percent,memory_mb
0.000,0.0,2.13
0.101,0.0,2.13
0.201,0.0,2.13
0.301,0.0,2.13
0.402,0.0,2.13
0.502,0.0,2.13
0.602,0.0,2.13
0.703,0.0,2.13
0.803,0.0,2.13
0.903,0.0,2.13
1.004,0.0,2.13
1.104,0.0,2.13
1.204,0.0,2.13
1.305,0.0,2.13
1.406,0.0,2.13
1.508,0.0,2.13
1.609,0.0,2.13
1.710,0.0,2.13
1.811,0.0,2.13
1.912,0.0,2.13
2.013,0.0,2.13
2.113,0.0,2.13
2.214,0.0,2.13
2.315,0.0,2.13
2.416,0.0,2.13
2.517,0.0,2.13
2.618,0.0,2.13
2.719,0.0,2.13
2.820,0.0,2.13
2.921,0.0,2.13
3.022,0.0,2.13
3.123,0.0,2.13
3.224,0.0,2.13
3.325,0.0,2.13
3.427,0.0,2.13
3.528,0.0,2.13
3.629,0.0,2.13
3.730,0.0,2.13
3.831,0.0,2.13
3.932,0.0,2.13
4.032,0.0,2.13
4.133,0.0,2.13
4.234,0.0,2.13
4.334,0.0,2.13
4.435,0.0,2.13
4.535,0.0,2.13
4.636,0.0,2.13
4.737,0.0,2.13
4.837,0.0,2.13
4.938,0.0,2.13
5.039,0.0,2.13
5.140,0.0,2.13
5.241,0.0,2.13
5.342,0.0,2.13
5.442,0.0,2.13
5.544,0.0,2.13
5.645,0.0,2.13
5.746,0.0,2.13
5.846,0.0,2.13
5.948,0.0,2.13
6.049,0.0,2.13
6.150,0.0,2.13
6.251,0.0,2.13
6.351,0.0,2.13
6.452,0.0,2.13
6.553,0.0,2.13
6.654,0.0,2.13
6.754,0.0,2.13
6.855,0.0,2.13
6.956,0.0,2.13
7.056,0.0,2.13
7.157,0.0,2.13
7.258,0.0,2.13
7.358,0.0,2.13
7.459,0.0,2.13
7.559,0.0,2.13
7.660,0.0,2.13
7.761,0.0,2.13
7.861,0.0,2.13
7.962,0.0,2.13
8.063,0.0,2.13
8.163,0.0,2.13
8.264,0.0,2.13
8.365,0.0,2.13
8.466,0.0,2.13
8.567,0.0,2.13
8.667,0.0,2.13
8.768,0.0,2.13
8.869,0.0,2.13
8.969,0.0,2.13
9.070,0.0,2.13
9.171,0.0,2.13
9.271,0.0,2.13
9.372,0.0,2.13
9.473,0.0,2.13
9.574,0.0,2.13
9.674,0.0,2.13
9.776,0.0,2.13
9.876,0.0,2.13
9.977,0.0,2.13
10.078,0.0,2.13
10.179,0.0,2.13
10.279,0.0,2.13
10.380,0.0,2.13
10.481,9.9,2.13
10.581,0.0,2.13
10.682,0.0,2.13
10.784,0.0,2.13
10.885,0.0,2.13
10.985,0.0,2.13
11.086,0.0,2.13
11.187,0.0,2.13
11.287,0.0,2.13
11.388,0.0,2.13
11.489,0.0,2.13
11.590,0.0,2.13
11.690,0.0,2.13
11.791,0.0,2.13
11.892,0.0,2.13
11.993,0.0,2.13
12.094,0.0,2.13
12.194,0.0,2.13
12.295,0.0,2.13
12.395,0.0,2.13
12.496,0.0,2.13
12.597,0.0,2.13
12.697,0.0,2.13
12.799,0.0,2.13
12.900,0.0,2.13
13.001,0.0,2.13
13.102,0.0,2.13
13.203,0.0,2.13
13.304,0.0,2.13
13.406,0.0,2.13
13.507,0.0,2.13
13.607,0.0,2.13
13.708,0.0,2.13
13.809,0.0,2.13
13.910,0.0,2.13
14.011,0.0,2.13
14.112,0.0,2.13
14.213,0.0,2.13
14.314,0.0,2.13
14.414,0.0,2.13
14.515,0.0,2.13
14.616,0.0,2.13
14.717,0.0,2.13
14.818,0.0,2.13
14.919,0.0,2.13
15.020,0.0,2.13
15.120,0.0,2.13
15.221,0.0,2.13
15.322,0.0,2.13
15.423,0.0,2.13
15.523,0.0,2.13
15.624,0.0,2.13
15.725,0.0,2.13
15.826,0.0,2.13
15.927,0.0,2.13
16.028,0.0,2.13
16.129,0.0,2.13
16.230,0.0,2.13
16.331,0.0,2.13
16.432,0.0,2.13
16.533,0.0,2.13
16.634,0.0,2.13
16.735,9.9,2.13
16.836,0.0,2.13
16.937,0.0,2.13
17.038,0.0,2.13
17.139,0.0,2.13
17.240,0.0,2.13
17.341,0.0,2.13
17.442,0.0,2.13
17.543,0.0,2.13
17.643,0.0,2.13
17.745,0.0,2.13
17.845,0.0,2.13
17.946,0.0,2.13
18.047,0.0,2.13
18.147,0.0,2.13
18.247,0.0,2.13
18.348,0.0,2.13
18.448,0.0,2.13
18.549,0.0,2.13
18.650,0.0,2.13
18.751,0.0,2.13
18.852,0.0,2.13
18.953,0.0,2.13
19.054,0.0,2.13
19.154,0.0,2.13
19.255,0.0,2.13
19.356,0.0,2.13
19.457,0.0,2.13
19.558,0.0,2.13
19.659,0.0,2.13
19.759,0.0,2.13
19.860,0.0,2.13
19.961,0.0,2.13
20.062,0.0,2.13
20.163,0.0,2.13
20.263,0.0,2.13
20.364,0.0,2.13
